DateTime:,24:03.1,,,,,,,,,,,,,,,
name,platform,release year,publisher,north america sales,PAL sales,japan sales,rest of world sales,global sales,release date,critic score,critic outof,critic count,user score,user count,developer,rating
Wii Sports,Nintendo,19th Nov 06  ,Nintendo,41.36m,29.02m,3.77m,8.51m,82.65m,,,,,,,,
Super Mario Bros.,Nintendo,18th Oct 85  ,Nintendo,29.08m,3.58m,6.81m,0.77m,40.24m,,,,,,,,
Mario Kart Wii    Read the review,Nintendo,27th Apr 08  ,Nintendo,15.86m,12.92m,3.80m,3.35m,35.92m,,,,,,,,
Wii Sports Resort    Read the review,Nintendo,26th Jul 09  ,Nintendo,15.61m,10.98m,3.29m,3.02m,32.90m,,,,,,,,
Pok\xc3\xa9mon Red / Green / Blue Version,Nintendo,30th Sep 98  ,Nintendo,11.27m,8.89m,10.22m,1.00m,31.37m,,,,,,,,
Tetris,Nintendo,01st Jun 89  ,Nintendo,23.20m,2.26m,4.22m,0.58m,30.26m,,,,,,,,
New Super Mario Bros.,Nintendo,15th May 06  ,Nintendo,11.28m,9.19m,6.50m,2.89m,29.85m,,,,,,,,
Wii Play    Read the review,Nintendo,12th Feb 07  ,Nintendo,13.96m,9.18m,2.93m,2.85m,28.92m,,,,,,,,
New Super Mario Bros. Wii    Read the review,Nintendo,15th Nov 09  ,Nintendo,14.53m,7.00m,4.70m,2.27m,28.50m,,,,,,,,
Duck Hunt,Nintendo,15th Oct 85  ,Nintendo,26.93m,0.63m,0.28m,0.47m,28.31m,,,,,,,,
Nintendogs,Nintendo,23rd Aug 05  ,Nintendo,9.05m,10.96m,1.93m,2.74m,24.68m,,,,,,,,
Mario Kart DS,Nintendo,14th Nov 05  ,Nintendo,9.71m,7.51m,4.13m,1.91m,23.26m,,,,,,,,
Pok\xc3\xa9mon Gold / Silver Version,Nintendo,14th Oct 00  ,Nintendo,9.00m,6.18m,7.20m,0.71m,23.10m,,,,,,,,
Wii Fit    Read the review,Nintendo,21st May 08  ,Nintendo,8.92m,8.03m,3.60m,2.15m,22.70m,,,,,,,,
Kinect Adventures!    Read the review,Microsoft Game Studios,04th Nov 10  ,Microsoft Game Studios,15.09m,4.97m,0.24m,1.81m,22.10m,,,,,,,,
Wii Fit Plus,Nintendo,04th Oct 09  ,Nintendo,9.01m,8.51m,2.53m,1.76m,21.81m,,,,,,,,
Grand Theft Auto: San Andreas,Rockstar Games,26th Oct 04  ,Rockstar Games,9.43m,0.40m,0.41m,10.57m,20.81m,,,,,,,,
Super Mario World,Nintendo,13th Aug 91  ,Nintendo,12.78m,3.75m,3.54m,0.55m,20.61m,,,,,,,,
Grand Theft Auto V,Rockstar Games,17th Sep 13  ,Rockstar Games,6.37m,9.84m,0.99m,3.12m,20.31m,,,,,,,,
Brain Age: Train Your Brain in Minutes a Day,Nintendo,17th Apr 06  ,Nintendo,4.74m,9.21m,4.16m,2.04m,20.16m,,,,,,,,
Grand Theft Auto V,Rockstar Games,18th Nov 14  ,Rockstar Games,5.85m,9.42m,0.60m,2.93m,18.80m,,,,,,,,
Pok\xc3\xa9mon Diamond / Pearl Version,Nintendo,28th Apr 07  ,Nintendo,6.38m,4.47m,6.04m,1.36m,18.25m,,,,,,,,
Super Mario Land,Nintendo,01st Aug 89  ,Nintendo,10.83m,2.71m,4.18m,0.42m,18.14m,,,,,,,,
Super Mario Bros. 3,Nintendo,12th Feb 90  ,Nintendo,9.54m,3.44m,3.84m,0.46m,17.28m,,,,,,,,
Grand Theft Auto: Vice City,Rockstar Games,28th Oct 02  ,Rockstar Games,8.41m,5.49m,0.47m,1.78m,16.15m,,,,,,,,
Pok\xc3\xa9mon X/Y,Nintendo,12th Oct 13  ,Nintendo,5.62m,5.06m,4.40m,0.98m,16.07m,,,,,,,,
Grand Theft Auto V,Rockstar Games,17th Sep 13  ,Rockstar Games,9.06m,5.33m,0.06m,1.41m,15.86m,,,,,,,,
Pok\xc3\xa9mon Ruby / Sapphire Version,Nintendo,17th Mar 03  ,Nintendo,6.06m,3.90m,5.38m,0.50m,15.85m,,,,,,,,
Brain Age 2: More Training in Minutes a Day,Nintendo,20th Aug 07  ,Nintendo,3.43m,5.36m,5.32m,1.18m,15.29m,,,,,,,,
Pok\xc3\xa9mon Black / White Version,Nintendo,06th Mar 11  ,Nintendo,5.51m,3.20m,5.66m,0.80m,15.18m,,,,,,,,
Mario Kart 7,Nintendo,04th Dec 11  ,Nintendo,5.86m,5.19m,2.98m,1.08m,15.10m,,,,,,,,
Pok\xc3\xa9mon Sun/Moon,Nintendo,18th Nov 16  ,Nintendo,5.94m,4.34m,3.82m,0.98m,15.08m,,,,,,,,
Call of Duty: Black Ops 3,Activision,06th Nov 15  ,Activision,6.14m,6.05m,0.41m,2.43m,15.03m,,,,,,,,
Gran Turismo 3: A-Spec,Sony Computer Entertainment,09th Jul 01  ,Sony Computer Entertainment,6.85m,5.09m,1.87m,1.16m,14.98m,,,,,,,,
Call of Duty: Modern Warfare 3,Activision,08th Nov 11  ,Activision,9.07m,4.29m,0.13m,1.33m,14.82m,,,,,,,,
Call of Duty: Black Ops,Activision,09th Nov 10  ,Activision,9.76m,3.73m,0.11m,1.14m,14.74m,,,,,,,,
Pok\xc3\xa9mon Yellow: Special Pikachu Edition,Nintendo,19th Oct 99  ,Nintendo,5.89m,5.04m,3.12m,0.59m,14.64m,,,,,,,,
Call of Duty: Black Ops II,Activision,13th Nov 12  ,Activision,8.27m,4.32m,0.07m,1.20m,13.86m,,,,,,,,
Call of Duty: Black Ops II,Activision,13th Nov 12  ,Activision,4.99m,5.88m,0.65m,2.28m,13.80m,,,,,,,,
Call of Duty: Modern Warfare 2    Read the review,Activision,10th Nov 09  ,Activision,8.54m,3.63m,0.08m,1.28m,13.53m,,,,,,,,
Call of Duty: Modern Warfare 3,Activision,08th Nov 11  ,Activision,5.54m,5.78m,0.49m,1.54m,13.35m,,,,,,,,
Call of Duty: WWII    Read the review,Activision,03rd Nov 17  ,Activision,4.61m,6.12m,0.40m,2.09m,13.21m,,,,,,,,
Grand Theft Auto III,Rockstar Games,23rd Oct 01  ,Rockstar Games,6.99m,4.51m,0.30m,1.30m,13.10m,,,,,,,,
Super Smash Bros. Brawl    Read the review,Nintendo,09th Mar 08  ,Nintendo,6.64m,2.57m,2.67m,1.03m,12.91m,,,,,,,,
Pok\xc3\xa9mon Omega Ruby/Pok\xc3\xa9mon Alpha Sapphire,Nintendo,21st Nov 14  ,Nintendo,4.78m,3.98m,3.15m,0.82m,12.73m,,,,,,,,
Call of Duty: Black Ops,Activision,09th Nov 10  ,Activision,6.01m,4.40m,0.48m,1.78m,12.67m,,,,,,,,
Animal Crossing: Wild World,Nintendo,05th Dec 05  ,Nintendo,2.50m,3.46m,5.33m,0.86m,12.14m,,,,,,,,
Halo 3    Read the review,Microsoft Game Studios,25th Sep 07  ,Microsoft Game Studios,7.97m,2.81m,0.13m,1.21m,12.13m,,,,,,,,
Super Mario 64,Nintendo,26th Sep 96  ,Nintendo,6.91m,2.85m,1.91m,0.23m,11.89m,,,,,,,,
Pok\xc3\xa9mon Heart Gold / Soul Silver Version    Read the review,Nintendo,14th Mar 10  ,Nintendo,4.34m,2.72m,3.96m,0.76m,11.78m,,,,,,,,
FIFA 18,EA Sports,29th Sep 17  ,EA Sports,1.26m,8.62m,0.15m,1.72m,11.75m,,,,,,,,
Gran Turismo 4,Sony Computer Entertainment,22nd Feb 05  ,Sony Computer Entertainment,3.01m,0.01m,1.10m,7.53m,11.66m,,,,,,,,
Super Mario Galaxy    Read the review,Nintendo,12th Nov 07  ,Nintendo,6.06m,3.37m,1.20m,0.76m,11.40m,,,,,,,,
Super Mario 3D Land,Nintendo,13th Nov 11  ,Nintendo,4.99m,3.40m,2.15m,0.84m,11.37m,,,,,,,,
Super Mario Land 2: 6 Golden Coins,Nintendo,02nd Nov 92  ,Nintendo,6.16m,2.04m,2.69m,0.29m,11.18m,,,,,,,,
New Super Mario Bros. 2,Nintendo,19th Aug 12  ,Nintendo,3.88m,4.00m,2.59m,0.70m,11.18m,,,,,,,,
Grand Theft Auto IV    Read the review,Rockstar Games,29th Apr 08  ,Rockstar Games,6.80m,3.11m,0.14m,1.04m,11.09m,,,,,,,,
Gran Turismo,Sony Computer Entertainment,30th Apr 98  ,Sony Computer Entertainment,4.02m,3.87m,2.54m,0.52m,10.95m,,,,,,,,
FIFA 17,Electronic Arts,27th Sep 16  ,Electronic Arts,1.25m,7.95m,0.12m,1.61m,10.94m,,,,,,,,
Gran Turismo 5,Sony Computer Entertainment,24th Nov 10  ,Sony Computer Entertainment,2.96m,4.87m,0.81m,2.10m,10.75m,,,,,,,,
Animal Crossing: New Leaf,Nintendo,09th Jun 13  ,Nintendo,2.40m,2.98m,4.87m,0.47m,10.72m,,,,,,,,
Call of Duty: Modern Warfare 2    Read the review,Activision,10th Nov 09  ,Activision,4.99m,3.66m,0.38m,1.59m,10.61m,,,,,,,,
Grand Theft Auto IV    Read the review,Rockstar Games,29th Apr 08  ,Rockstar Games,4.79m,3.72m,0.44m,1.62m,10.57m,,,,,,,,
Super Mario All-Stars,Nintendo,01st Aug 93  ,Nintendo,5.99m,2.15m,2.12m,0.29m,10.55m,,,,,,,,
Pok\xc3\xa9mon FireRed / LeafGreen Version,Nintendo,07th Sep 04  ,Nintendo,4.34m,2.65m,3.15m,0.35m,10.49m,,,,,,,,
Super Mario Odyssey    Read the review,Nintendo,27th Oct 17  ,Nintendo,4.54m,3.20m,1.95m,0.74m,10.42m,,,,,,,,
Call of Duty: Ghosts,Activision,05th Nov 13  ,Activision,6.76m,2.64m,0.04m,0.98m,10.41m,,,,,,,,
Super Mario 64 DS,Nintendo,20th Nov 04  ,Nintendo,5.01m,3.08m,1.25m,0.97m,10.32m,,,,,,,,
"b""Uncharted 4: A Thiefs End""",Sony Interactive Entertainment,10th May 16  ,Sony Interactive Entertainment,4.41m,3.89m,0.21m,1.67m,10.17m,,,,,,,,
Just Dance 3,Ubisoft,07th Oct 11  ,Ubisoft,5.95m,3.13m,N/A,1.06m,10.14m,,,,,,,,
Call of Duty: Ghosts,Activision,05th Nov 13  ,Activision,4.11m,4.01m,0.39m,1.62m,10.13m,,,,,,,,
Halo: Reach,Microsoft Game Studios,14th Sep 10  ,Microsoft Game Studios,7.08m,2.01m,0.08m,0.80m,9.97m,,,,,,,,
Halo 4,Microsoft Studios,06th Nov 12  ,Microsoft Studios,6.72m,2.36m,0.04m,0.83m,9.95m,,,,,,,,
Mario Kart 64,Nintendo,10th Feb 97  ,Nintendo,5.55m,1.94m,2.23m,0.15m,9.87m,,,,,,,,
Mario Kart 8 Deluxe,Nintendo,28th Apr 17  ,Nintendo,3.64m,3.65m,1.91m,0.66m,9.86m,,,,,,,,
Minecraft,Microsoft Studios,04th Jun 13  ,Microsoft Studios,5.96m,2.93m,0.02m,0.90m,9.80m,,,,,,,,
Final Fantasy VII,Sony Computer Entertainment,03rd Sep 97  ,Sony Computer Entertainment,3.01m,2.47m,3.28m,0.96m,9.72m,,,,,,,,
Gran Turismo 2,Sony Computer Entertainment,17th Jan 99  ,Sony Computer Entertainment,3.88m,3.42m,1.69m,0.50m,9.49m,,,,,,,,
Just Dance 2,Ubisoft,12th Oct 10  ,Ubisoft,5.80m,2.86m,0.01m,0.77m,9.45m,,,,,,,,
Call of Duty 4: Modern Warfare,Activision,05th Nov 07  ,Activision,5.98m,2.39m,0.13m,0.91m,9.41m,,,,,,,,
Donkey Kong Country,Nintendo,21st Nov 94  ,Nintendo,4.36m,1.71m,3.00m,0.23m,9.30m,,,,,,,,
Mario Party DS,Nintendo,19th Nov 07  ,Nintendo,4.40m,1.86m,1.98m,0.69m,8.93m,,,,,,,,
The Elder Scrolls V: Skyrim,Bethesda Softworks,11th Nov 11  ,Bethesda Softworks,5.10m,2.83m,0.10m,0.85m,8.88m,,,,,,,,
Super Mario Kart,Nintendo,01st Sep 92  ,Nintendo,3.54m,1.24m,3.81m,0.18m,8.76m,,,,,,,,
Halo 2,Microsoft Game Studios,09th Nov 04  ,Microsoft Game Studios,6.82m,1.53m,0.05m,0.08m,8.49m,,,,,,,,
Call of Duty: Infinite Warfare,Activision,04th Nov 16  ,Activision,3.05m,3.82m,0.19m,1.35m,8.41m,,,,,,,,
Wii Party,Nintendo,03rd Oct 10  ,Nintendo,1.75m,3.50m,2.49m,0.66m,8.41m,,,,,,,,
The Legend of Zelda: Breath of the Wild,Nintendo,03rd Mar 17  ,Nintendo,3.98m,2.59m,1.18m,0.64m,8.39m,,,,,,,,
Fallout 4,Bethesda Softworks,10th Nov 15  ,Bethesda Softworks,2.84m,3.94m,0.27m,1.32m,8.38m,,,,,,,,
Grand Theft Auto V,Rockstar Games,18th Nov 14  ,Rockstar Games,4.43m,3.15m,0.01m,0.72m,8.31m,,,,,,,,
Mario Party 8,Nintendo,29th May 07  ,Nintendo,3.74m,2.27m,1.58m,0.70m,8.30m,,,,,,,,
Super Smash Bros. for 3DS,Nintendo,03rd Oct 14  ,Nintendo,3.65m,1.50m,2.53m,0.53m,8.22m,,,,,,,,
FIFA 16,EA Sports,22nd Sep 15  ,EA Sports,1.15m,5.77m,0.07m,1.23m,8.22m,,,,,,,,
Pok\xc3\xa9mon Black 2 and White 2,Nintendo,07th Oct 12  ,Nintendo,2.79m,1.79m,3.16m,0.43m,8.16m,,,,,,,,
GoldenEye 007,Nintendo,25th Aug 97  ,Nintendo,5.80m,2.01m,0.13m,0.15m,8.09m,,,,,,,,
Final Fantasy X,Square,17th Dec 01  ,Square,2.91m,2.07m,2.73m,0.33m,8.05m,,,,,,,,
Star Wars Battlefront (2015)    Read the review,Electronic Arts,17th Nov 15  ,Electronic Arts,3.30m,3.19m,0.23m,1.30m,8.02m,,,,,,,,
FIFA 13,EA Sports,25th Sep 12  ,EA Sports,1.07m,5.13m,0.13m,1.68m,8.01m,,,,,,,,
